sample_id	figure1c_sample	sra_run	lane	sra_sample_name	library_name	size_mb
BF_H9_D36	H9 D36	SRR31892920	L001	H9_D36	191641L_H9_750_D36_2_1	10504
BF_H9_D36	H9 D36	SRR31892921	L002	H9_D36	191641L_H9_750_D36_1_1	9856
BF_H9_D36	H9 D36	SRR31892915	L003	H9_D36	191641L_H9_750_D36_4_1	4496
BF_H9_D36	H9 D36	SRR31892916	L004	H9_D36	191641L_H9_750_D36_3_1	9953
BF_H9_D63	H9 D63	SRR31892911	L001	H9_D63	191641O_H9_D63_4_1	13583
BF_H9_D63	H9 D63	SRR31892912	L002	H9_D63	191641O_H9_D63_3_1	10669
BF_H9_D63	H9 D63	SRR31892913	L003	H9_D63	191641O_H9_D63_2_1	12077
BF_H9_D63	H9 D63	SRR31892914	L004	H9_D63	191641O_H9_D63_1_1	2427
BFCO_IMR_D63	IMR90-4 D63	SRR31892910	L001	IMR904_D63	BFCO_IMR_D63_S0_L000	48629
