study_id	study_label	external_accession	source_repository	source_type	source_object_or_input	used_in_v12_figure_default	n_cells_loaded	n_cells_plotted_figure_default	sample_values_loaded	sample_values_plotted_in_figure_default	was_subset_for_v12_panel	subset_or_filter_applied	umap_source_notes
varela_div30	This Study, DIV 30			internal study object	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/results/varela_this_paper/varela_this_paper_seurat.rds	yes	90631	90631	9583-MW-1;9583-MW-2;9583-MW-3;9583-MW-4;9583-MW-5;9583-MW-6	9583-MW-1;9583-MW-2;9583-MW-3;9583-MW-4;9583-MW-5;9583-MW-6	no	None for v12 QC panel; GEO intentionally blank for this-study data.	UMAP from internal Seurat/H5AD prepared asset; cluster labels recoded to DIV30 paper/manual classes.
varela_div90	This Study, DIV 90			internal study object	/nfs/turbo/umms-parent/Manny_test/ventral_sosrs_output/umap_props_output/clustered_day90_with_cluster_names_2.rds	yes	22338	20049	10496-MW-1;10496-MW-2;10496-MW-3;10496-MW-4;10496-MW-5;10496-MW-6	10496-MW-1;10496-MW-2;10496-MW-3;10496-MW-4;10496-MW-5;10496-MW-6	yes	Published Fig. D recode removes current raw clusters 6 and 7 as stressed cells from visualization/tables for published-style outputs; no sample-level subset.	UMAP from internal DIV90 object; original UMAP preserved, published-style display uses vertical plotting-only flip.
siebert_2026	Siebert et al. 2026	nemo:dat-htzat9t	NeMO	registered/canonical Seurat object	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/results/siebert_2026/siebert_2026_seurat.rds	yes	64676	64676	Old_1;Old_2;Young_1;Young_2	Old_1;Old_2;Young_1;Young_2	no	No v12 figure-default sample subset.	Not GEO; source tracked as NeMO collection "Progenitor Cell Diversity in the Developing Human Ganglionic Eminences".
walsh	Walsh et al. 2025	GSE250482	GEO	reconstructed Seurat object from GEO count matrices	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/results/walsh_day75/walsh_day75_final_annotated.rds	yes	4519	4519	GSM7979671;GSM7979672	GSM7979671;GSM7979672	yes	Selected only day-75 MEL1 WT dFB/vFB GEO samples GSM7979671/MEL1_dFB_d75 and GSM7979672/MEL1_vFB_d75 from the 10-sample GSE250482 series; object also reflects QC and stress-cluster removal before final UMAP.	UMAP generated by local Walsh Seurat workflow from selected GEO count matrices; not an author-provided UMAP/cluster annotation.
bershteyn_2025	Bershteyn et al. 2025	GSE283775	GEO	provided Seurat RDS	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/results/bershteyn_2025/bershteyn_2025_seurat.rds	no	124583	0	010519S1;010519S2;010720S;070120S;100620S;111219S;150120S;200319S;200520S1;200520S2;220720S1;220720S2;251219S;280120S		yes	Excluded from v12 figure-default QC plot; present only in all-prepared-cell QC output.	Downloaded GEO supplementary Seurat object GSE283775_Seurat_scRNA_seq.rds.gz; no cells plotted in v12 figure-default panel.
bershteyn_2023	Bershteyn et al. 2023	GSE208672	GEO	provided Seurat RDS	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/results/bershteyn_2023/bershteyn_2023_seurat.rds	yes	98042	98042	D0;D14;MB279;MB280;MB460;MB461;MB527;MB528;MS35mock;MS35r41;mockv2dw;mockv2ym;r41v2dw;r41v2ym	D0;D14;MB279;MB280;MB460;MB461;MB527;MB528;MS35mock;MS35r41;mockv2dw;mockv2ym;r41v2dw;r41v2ym	no	No v12 figure-default sample subset.	Downloaded GEO supplementary Seurat object GSE208672_Seurat_allsamples.rds.gz; v12 uses configured UMAP and seurat_clusters.
samarasinghe_2021	Samarasinghe et al. 2021	GSE165577; Zenodo 5732813	GEO/Zenodo	official processed Seurat/RData object	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/results/samarasinghe_2021_zenodo_processed_object/samarasinghe_2021_zenodo_seurat.rds	yes	49942	26935	D100_Ctrl_docked_2_seurat;D100_Rett_docked_2_seurat;D56_Ctrl_unfused_1_seurat;D56_Rett_unfused_1_seurat;D70_Ctrl_docked_1_seurat;D70_Rett_docked_1_seurat	D100_Ctrl_docked_2_seurat;D56_Ctrl_unfused_1_seurat;D70_Ctrl_docked_1_seurat	yes	For v12 figure-default QC plot, controls only are shown; Rett samples are removed from the plotted/default figure data.	Canonical workflow uses official Zenodo processed object with paper-style UMAP/metadata; GEO counts are retained for provenance/reconstruction only.
xiang_2018	Xiang	GSE97882; GSE98201	GEO	reconstructed Seurat object from 10x matrix/genes/barcodes	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/results/xiang_2018/xiang_2018_seurat.rds	no	0	0			yes	Configured with include_in_first_plot=False and marker-expression table missing for v12; not loaded or plotted.	GSE98201 is the scRNA-seq subseries under GSE97882; excluded until sample biology/metadata are validated.
